miscellaneous items
,Bag,1000,1,1
,Cotton,1000,1,1
,Cut Barley,1000,1,1
,Empty Bucket,1000,1,1
,Kindling,1000,1,1
,Milk Bottle Empty,1000,1,1
,Pole,1000,1,1
,Rose,1000,1,1
,String,1000,1,1
,Torch,1000,1,1


poor produce
,Chicken Egg,3300,1,3
,Grapes,3300,1,6
,Pecans,3400,1,6


average produce
,Lemon,1500,1,5
,Lime,1500,1,5
,Orange,2500,1,5
,Tomato,4500,1,5


rich produce
,Cherries,3500,1,12
,Apple,5500,1,10
,Banana,1000,1,8


poor cooked food
,Cooked Bat Wing,1400,1,4
,Plain Bread,1500,1,2
,Cooked Snake Meat,1400,1,3
,Cooked Spider Leg,1400,1,8
,Cooked Striped Thod,1400,1,3
,Cooked Rabbit Meat,1500,1,2
,Cooked Scorpion Tail,1400,1,1


average cooked food
,Baked Biscut Dough,800,1,6
,Baked Roll,800,1,6
,Cooked Bluefin,800,1,4
,Cooked Chicken Leg,2200,1,6
,Cooked Crescent,800,1,6
,Cooked Greely,1000,1,4
,Nut Bread,800,1,3
,Cooked Purker,1000,1,4
,Raisin Bread,800,1,3
,Cooked Red Fleming,1000,1,4


rich cooked food
,Banana Bread,700,1,4
,Cooked Casucs,1200,1,4
,Cherry Bread,700,1,4
,Cinnamon Bread,700,1,4
,Cinnamon Rolls,700,1,8
,Cinnamon Twists,700,1,8
,Doughnut Bites,200,1,12
,Twists,700,1,8
,Cooked Venison,2200,1,3
,Cooked Beef Steak,2200,1,3


light melee weapon
,Small Dagger,2000,1,1
,Hatchet,1800,1,1
,Dagger,1600,1,1
,Great Dagger,1400,1,1
,Rapier,1100,1,1
,Pine Staff,900,1,1
,Short Stiletto,700,1,1
,Stiletto,500,1,1


medium melee weapon
,Club,1400,1,1
,Small Mace,1300,1,1
,Staff,1200,1,1
,Axe,1100,1,1
,Sword,1000,1,1
,Battle Axe,900,1,1
,Mace,800,1,1
,Golden Sword,700,1,1
,Spear,600,1,1
,Morning Star,500,1,1
,Sabre,300,1,1
,Golden Sabre,200,1,1


heavy melee weapon
,War Axe,2800,1,1
,Long Sword,2400,1,1
,Golden Long Sword,1900,1,1
,Trident,1400,1,1
,Broad Sword,1000,1,1
,Skull Crusher,500,1,1


light melee weapon to +1
,Small Dagger +1,400,1,1
,Hatchet +1,400,1,1
,Dagger +1,400,1,1
,Great Dagger +1,400,1,1
,Rapier +1,400,1,1
,Pine Staff +1,400,1,1
,Short Stiletto +1,400,1,1
,Stiletto +1,400,1,1
,Small Dagger,1700,1,1
,Hatchet,1700,1,1
,Dagger,1700,1,1
,Great Dagger,1700,1,1


light melee weapon to +2
,Small Dagger +2,400,1,1
,Hatchet +2,400,1,1
,Dagger +2,400,1,1
,Great Dagger +2,400,1,1
,Rapier +2,400,1,1
,Pine Staff +2,400,1,1
,Short Stiletto +2,400,1,1
,Stiletto +2,400,1,1
,Small Dagger,900,1,1
,Hatchet,900,1,1
,Dagger,900,1,1
,Great Dagger,900,1,1
,Rapier,800,1,1
,Pine Staff,800,1,1
,Short Stiletto,800,1,1
,Stiletto,800,1,1


light melee weapon to +3
,Small Dagger +3,400,1,1
,Hatchet +3,400,1,1
,Dagger +3,400,1,1
,Great Dagger +3,400,1,1
,Rapier +3,400,1,1
,Pine Staff +3,400,1,1
,Short Stiletto +3,400,1,1
,Stiletto +3,400,1,1
,Small Dagger +1,900,1,1
,Hatchet +1,900,1,1
,Dagger +1,900,1,1
,Great Dagger +1,900,1,1
,Rapier +1,800,1,1
,Pine Staff +1,800,1,1
,Short Stiletto +1,800,1,1
,Stiletto +1,800,1,1


light melee weapon to +4
,Small Dagger +4,400,1,1
,Hatchet +4,400,1,1
,Dagger +4,400,1,1
,Great Dagger +4,400,1,1
,Rapier +4,400,1,1
,Pine Staff +4,400,1,1
,Short Stiletto +4,400,1,1
,Stiletto +4,400,1,1
,Small Dagger +2,900,1,1
,Hatchet +2,900,1,1
,Dagger +2,900,1,1
,Great Dagger +2,900,1,1
,Rapier +2,800,1,1
,Pine Staff +2,800,1,1
,Short Stiletto +2,800,1,1
,Stiletto +2,800,1,1


light melee weapon to +5
,Small Dagger +5,400,1,1
,Hatchet +5,400,1,1
,Dagger +5,400,1,1
,Great Dagger +5,400,1,1
,Rapier +5,400,1,1
,Pine Staff +5,400,1,1
,Short Stiletto +5,400,1,1
,Stiletto +5,400,1,1
,Small Dagger +3,900,1,1
,Hatchet +3,900,1,1
,Dagger +3,900,1,1
,Great Dagger +3,900,1,1
,Rapier +3,800,1,1
,Pine Staff +3,800,1,1
,Short Stiletto +3,800,1,1
,Stiletto +3,800,1,1


medium melee weapon to +1
,Club +1,400,1,1
,Small Mace +1,400,1,1
,Staff +1,400,1,1
,Axe +1,400,1,1
,Sword +1,300,1,1
,Battle Axe +1,300,1,1
,Mace +1,300,1,1
,Spear +1,300,1,1
,Morning Star +1,300,1,1
,Sabre +1,300,1,1
,Club,1100,1,1
,Small Mace,1100,1,1
,Staff,1100,1,1
,Axe,1100,1,1
,Sword,1100,1,1
,Battle Axe,1100,1,1


medium melee weapon to +2
,Club +2,400,1,1
,Small Mace +2,400,1,1
,Staff +2,400,1,1
,Axe +2,400,1,1
,Sword +2,300,1,1
,Battle Axe +2,300,1,1
,Mace +2,300,1,1
,Spear +2,300,1,1
,Morning Star +2,300,1,1
,Sabre +2,300,1,1
,Mace,1100,1,1
,Golden Sword,1100,1,1
,Spear,1100,1,1
,Morning Star,1100,1,1
,Sabre,1100,1,1
,Golden Sabre,1100,1,1


medium melee weapon to +3
,Club +3,400,1,1
,Small Mace +3,400,1,1
,Staff +3,400,1,1
,Axe +3,400,1,1
,Sword +3,300,1,1
,Battle Axe +3,300,1,1
,Mace +3,300,1,1
,Spear +3,300,1,1
,Morning Star +3,300,1,1
,Sabre +3,300,1,1
,Sword +1,1100,1,1
,Battle Axe +1,1100,1,1
,Mace +1,1100,1,1
,Spear +1,1100,1,1
,Morning Star +1,1100,1,1
,Sabre +1,1100,1,1


medium melee weapon to +4
,Club +4,400,1,1
,Small Mace +4,400,1,1
,Staff +4,400,1,1
,Axe +4,400,1,1
,Sword +4,300,1,1
,Battle Axe +4,300,1,1
,Mace +4,300,1,1
,Spear +4,300,1,1
,Morning Star +4,300,1,1
,Sabre +4,300,1,1
,Sword +2,1100,1,1
,Battle Axe +2,1100,1,1
,Mace +2,1100,1,1
,Spear +2,1100,1,1
,Morning Star +2,1100,1,1
,Sabre +2,1100,1,1


medium melee weapon to +5
,Club +5,400,1,1
,Small Mace +5,400,1,1
,Staff +5,400,1,1
,Axe +5,400,1,1
,Sword +5,300,1,1
,Battle Axe +5,300,1,1
,Mace +5,300,1,1
,Spear +5,300,1,1
